Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Unfallstunde;Wochentag;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.55638757729005, 7.568664233714206;"{""coordinates"": [7.568664233714206, 47.55638757729005], ""type"": ""Point""}";23015;Parkierunfall;1 Unfall mit Sachschaden;2013;11;;3 Mittwoch;Nebenstrasse;False;False;False
47.54878254877238, 7.607833680006166;"{""coordinates"": [7.607833680006166, 47.54878254877238], ""type"": ""Point""}";23025;Parkierunfall;1 Unfall mit Sachschaden;2020;4;11;3 Mittwoch;Nebenstrasse;False;False;False
47.55810096030845, 7.600887869245006;"{""coordinates"": [7.600887869245006, 47.55810096030845], ""type"": ""Point""}";23032;Parkierunfall;1 Unfall mit Sachschaden;2015;5;23;2 Dienstag;Nebenstrasse;False;False;False
47.56339912598975, 7.579470902524006;"{""coordinates"": [7.579470902524006, 47.56339912598975], ""type"": ""Point""}";23040;Parkierunfall;1 Unfall mit Sachschaden;2013;1;;3 Mittwoch;Nebenstrasse;False;False;False
47.55408765077055, 7.614719040060151;"{""coordinates"": [7.614719040060151, 47.55408765077055], ""type"": ""Point""}";23048;Parkierunfall;1 Unfall mit Sachschaden;2015;2;20;7 Sonntag;Nebenstrasse;False;False;False
47.56488962084376, 7.595486967216109;"{""coordinates"": [7.595486967216109, 47.56488962084376], ""type"": ""Point""}";23075;Parkierunfall;1 Unfall mit Sachschaden;2012;4;18;7 Sonntag;Nebenstrasse;False;False;False
47.55563674819428, 7.61327600267528;"{""coordinates"": [7.61327600267528, 47.55563674819428], ""type"": ""Point""}";23084;Parkierunfall;1 Unfall mit Sachschaden;2012;8;11;5 Freitag;Nebenstrasse;False;False;False
47.55013337058877, 7.5867290688174664;"{""coordinates"": [7.586729068817466, 47.55013337058877], ""type"": ""Point""}";23085;Parkierunfall;2 Unfall mit Leichtverletzten;2018;9;11;4 Donnerstag;Nebenstrasse;False;True;False
47.56640478590952, 7.578003807419369;"{""coordinates"": [7.578003807419369, 47.56640478590952], ""type"": ""Point""}";23096;Parkierunfall;1 Unfall mit Sachschaden;2011;4;;1 Montag;Nebenstrasse;False;False;False
47.5827984028741, 7.593718518662702;"{""coordinates"": [7.593718518662702, 47.5827984028741], ""type"": ""Point""}";23098;Parkierunfall;1 Unfall mit Sachschaden;2014;6;15;2 Dienstag;Nebenstrasse;False;False;False
