Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Unfallstunde;Wochentag;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.55089665164317, 7.587661105071538;"{""coordinates"": [7.587661105071538, 47.55089665164317], ""type"": ""Point""}";29435;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;7;20;6 Samstag;Nebenstrasse;False;False;False
47.53926582937173, 7.595929707371674;"{""coordinates"": [7.595929707371674, 47.53926582937173], ""type"": ""Point""}";29442;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;4;22;3 Mittwoch;Nebenstrasse;False;False;False
47.55958633070218, 7.612385429466966;"{""coordinates"": [7.612385429466966, 47.55958633070218], ""type"": ""Point""}";29448;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2024;12;23;4 Donnerstag;Nebenstrasse;False;True;False
47.56291347844138, 7.5718026882170175;"{""coordinates"": [7.571802688217018, 47.56291347844138], ""type"": ""Point""}";29453;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;9;21;4 Donnerstag;Hauptstrasse;False;False;False
47.571217842824105, 7.5979508602966455;"{""coordinates"": [7.597950860296645, 47.571217842824105], ""type"": ""Point""}";29469;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;9;10;3 Mittwoch;Autobahn;False;False;False
47.55581411968474, 7.614937310170834;"{""coordinates"": [7.614937310170834, 47.55581411968474], ""type"": ""Point""}";29477;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2014;6;3;5 Freitag;Nebenstrasse;False;True;False
47.56415107325644, 7.609051742604243;"{""coordinates"": [7.609051742604243, 47.56415107325644], ""type"": ""Point""}";29478;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2014;2;6;5 Freitag;Autobahn;False;False;False
47.571938168957324, 7.597341677317628;"{""coordinates"": [7.597341677317628, 47.571938168957324], ""type"": ""Point""}";29479;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2015;6;16;3 Mittwoch;Nebenstrasse;False;False;False
47.549843773694505, 7.588136403149361;"{""coordinates"": [7.588136403149361, 47.549843773694505], ""type"": ""Point""}";29486;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2012;9;3;7 Sonntag;Nebenstrasse;False;True;False
47.550070465157965, 7.5866890413292145;"{""coordinates"": [7.586689041329215, 47.550070465157965], ""type"": ""Point""}";29498;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2013;6;17;3 Mittwoch;Nebenstrasse;False;True;False
47.58959325812709, 7.59017540022164;"{""coordinates"": [7.59017540022164, 47.58959325812709], ""type"": ""Point""}";29508;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;2;9;2 Dienstag;andere;False;False;False
47.5421769521979, 7.61665882520223;"{""coordinates"": [7.61665882520223, 47.5421769521979], ""type"": ""Point""}";29529;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2024;6;7;4 Donnerstag;Hauptstrasse;False;False;False
47.56952562853417, 7.673202881357772;"{""coordinates"": [7.673202881357772, 47.56952562853417], ""type"": ""Point""}";29531;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2022;4;3;7 Sonntag;Nebenstrasse;False;False;False
47.5733517291611, 7.566831587744789;"{""coordinates"": [7.566831587744789, 47.5733517291611], ""type"": ""Point""}";29532;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2024;1;8;7 Sonntag;Autobahn;False;False;False
47.57287609339647, 7.601982705305606;"{""coordinates"": [7.601982705305606, 47.57287609339647], ""type"": ""Point""}";29547;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2021;8;13;2 Dienstag;Autobahn;False;False;False
47.5614551955856, 7.607515102582797;"{""coordinates"": [7.607515102582797, 47.5614551955856], ""type"": ""Point""}";29559;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2024;7;17;5 Freitag;Hauptstrasse;False;True;False
47.56149559751891, 7.569035412994314;"{""coordinates"": [7.569035412994314, 47.56149559751891], ""type"": ""Point""}";29576;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;1;0;4 Donnerstag;Nebenstrasse;False;False;False
47.569567023404865, 7.594982429585098;"{""coordinates"": [7.594982429585098, 47.569567023404865], ""type"": ""Point""}";29577;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;5;14;3 Mittwoch;Nebenstrasse;False;True;False
47.57378928068276, 7.611115946770115;"{""coordinates"": [7.611115946770115, 47.57378928068276], ""type"": ""Point""}";29605;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2020;10;15;6 Samstag;Nebenstrasse;False;True;False
47.54798499109854, 7.592793832052136;"{""coordinates"": [7.592793832052136, 47.54798499109854], ""type"": ""Point""}";29651;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;5;14;3 Mittwoch;Hauptstrasse;False;False;False
47.540868452264256, 7.601220690943451;"{""coordinates"": [7.601220690943451, 47.540868452264256], ""type"": ""Point""}";29668;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;8;16;5 Freitag;Nebenstrasse;False;False;False
47.55926423012685, 7.561602724984712;"{""coordinates"": [7.561602724984712, 47.55926423012685], ""type"": ""Point""}";29673;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;4;9;6 Samstag;Nebenstrasse;False;False;False
47.575515182226795, 7.599146564118703;"{""coordinates"": [7.599146564118703, 47.575515182226795], ""type"": ""Point""}";29685;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;12;4;6 Samstag;Hauptstrasse;False;False;False
47.5647241769307, 7.591393764894556;"{""coordinates"": [7.591393764894556, 47.5647241769307], ""type"": ""Point""}";29688;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2012;2;8;4 Donnerstag;Nebenstrasse;False;True;False
47.57633993623973, 7.572779805918204;"{""coordinates"": [7.572779805918204, 47.57633993623973], ""type"": ""Point""}";29695;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;1;18;3 Mittwoch;andere;False;False;False
47.5446113232887, 7.606532007746686;"{""coordinates"": [7.606532007746686, 47.5446113232887], ""type"": ""Point""}";29697;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2013;6;14;6 Samstag;Autobahn;False;False;False
47.56233876101056, 7.634810326092784;"{""coordinates"": [7.634810326092784, 47.56233876101056], ""type"": ""Point""}";29699;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;5;9;5 Freitag;Nebenstrasse;False;False;False
47.567633058756314, 7.636583924568761;"{""coordinates"": [7.636583924568761, 47.567633058756314], ""type"": ""Point""}";29705;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;10;4;7 Sonntag;Nebenstrasse;False;False;False
47.55961457093642, 7.5779728103395305;"{""coordinates"": [7.577972810339531, 47.55961457093642], ""type"": ""Point""}";29716;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2017;8;16;2 Dienstag;Nebenstrasse;False;False;True
47.54208848166359, 7.596960762957097;"{""coordinates"": [7.596960762957097, 47.54208848166359], ""type"": ""Point""}";29728;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2018;6;0;7 Sonntag;Nebenstrasse;False;True;False
47.544869349983244, 7.57413541479832;"{""coordinates"": [7.57413541479832, 47.544869349983244], ""type"": ""Point""}";29746;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;7;11;6 Samstag;Nebenstrasse;False;False;False
47.56793939458547, 7.619668345914295;"{""coordinates"": [7.619668345914295, 47.56793939458547], ""type"": ""Point""}";29748;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;8;20;5 Freitag;Nebenstrasse;False;False;False
47.553626122555535, 7.569002934630782;"{""coordinates"": [7.569002934630782, 47.553626122555535], ""type"": ""Point""}";29769;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2014;6;13;6 Samstag;Nebenstrasse;False;False;False
47.55224829046415, 7.5856322840100265;"{""coordinates"": [7.585632284010027, 47.55224829046415], ""type"": ""Point""}";29780;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;12;8;6 Samstag;Nebenstrasse;False;False;False
47.57013505145025, 7.600525771490127;"{""coordinates"": [7.600525771490127, 47.57013505145025], ""type"": ""Point""}";29817;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;1;1;3 Mittwoch;Nebenstrasse;False;False;False
47.571286619363526, 7.61865640038611;"{""coordinates"": [7.61865640038611, 47.571286619363526], ""type"": ""Point""}";29819;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2024;8;10;7 Sonntag;Hauptstrasse;False;False;True
47.56524849094156, 7.5893355985097015;"{""coordinates"": [7.589335598509702, 47.56524849094156], ""type"": ""Point""}";29869;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;6;7;5 Freitag;Nebenstrasse;False;False;False
47.55385060392483, 7.577120807048747;"{""coordinates"": [7.577120807048747, 47.55385060392483], ""type"": ""Point""}";29874;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2011;7;7;5 Freitag;Nebenstrasse;False;True;False
47.56267837511633, 7.580505429429044;"{""coordinates"": [7.580505429429044, 47.56267837511633], ""type"": ""Point""}";29876;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;9;20;4 Donnerstag;Nebenstrasse;False;True;False
47.54874626488361, 7.608046109715419;"{""coordinates"": [7.608046109715419, 47.54874626488361], ""type"": ""Point""}";29878;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;1;9;4 Donnerstag;Nebenstrasse;False;False;False
47.543678290349774, 7.611098348764355;"{""coordinates"": [7.611098348764355, 47.543678290349774], ""type"": ""Point""}";29882;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;3;20;6 Samstag;Hauptstrasse;False;False;False
47.56608946731028, 7.59938398862827;"{""coordinates"": [7.59938398862827, 47.56608946731028], ""type"": ""Point""}";29891;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;6;22;2 Dienstag;Nebenstrasse;False;False;False
47.566234784893986, 7.561193524264375;"{""coordinates"": [7.561193524264375, 47.566234784893986], ""type"": ""Point""}";29894;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;8;13;4 Donnerstag;Nebenstrasse;False;False;False
47.549060017008216, 7.566547525661513;"{""coordinates"": [7.566547525661513, 47.549060017008216], ""type"": ""Point""}";29918;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;4;7;6 Samstag;Hauptstrasse;False;False;False
47.577903041583276, 7.5958176191293285;"{""coordinates"": [7.595817619129329, 47.577903041583276], ""type"": ""Point""}";29929;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2020;1;22;4 Donnerstag;Hauptstrasse;False;False;True
47.54798902662113, 7.6211150225619475;"{""coordinates"": [7.621115022561948, 47.54798902662113], ""type"": ""Point""}";29944;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;4;16;1 Montag;Hauptstrasse;False;False;False
47.58162178726017, 7.6449036787818345;"{""coordinates"": [7.644903678781835, 47.58162178726017], ""type"": ""Point""}";29945;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;5;18;6 Samstag;Nebenstrasse;False;False;False
47.56469600134792, 7.585321054085472;"{""coordinates"": [7.585321054085472, 47.56469600134792], ""type"": ""Point""}";29961;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2020;8;3;7 Sonntag;Nebenstrasse;False;False;False
47.55341895298998, 7.577079832916209;"{""coordinates"": [7.577079832916209, 47.55341895298998], ""type"": ""Point""}";30063;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2020;2;13;3 Mittwoch;Hauptstrasse;False;False;False
47.55926505041554, 7.576935538837314;"{""coordinates"": [7.576935538837314, 47.55926505041554], ""type"": ""Point""}";30068;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;8;6;2 Dienstag;Nebenstrasse;False;False;False
47.54559054624992, 7.6072922328633386;"{""coordinates"": [7.607292232863339, 47.54559054624992], ""type"": ""Point""}";30103;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;5;21;4 Donnerstag;Autobahn;False;False;False
47.54358473052255, 7.58765399243478;"{""coordinates"": [7.58765399243478, 47.54358473052255], ""type"": ""Point""}";30109;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;7;14;2 Dienstag;Nebenstrasse;False;False;True
47.54444939773, 7.606558064449307;"{""coordinates"": [7.606558064449307, 47.54444939773], ""type"": ""Point""}";30125;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;3;4;6 Samstag;Autobahn;False;False;False
47.58446408407382, 7.649753334692346;"{""coordinates"": [7.649753334692346, 47.58446408407382], ""type"": ""Point""}";30158;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;8;15;6 Samstag;Hauptstrasse;False;False;False
47.56733998542902, 7.611666512544187;"{""coordinates"": [7.611666512544187, 47.56733998542902], ""type"": ""Point""}";30159;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2015;11;15;4 Donnerstag;Hauptstrasse;False;False;False
47.5957420524145, 7.649784733571496;"{""coordinates"": [7.649784733571496, 47.5957420524145], ""type"": ""Point""}";30170;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2022;4;1;5 Freitag;Nebenstrasse;False;False;False
47.54218768349591, 7.5967618210391015;"{""coordinates"": [7.596761821039101, 47.54218768349591], ""type"": ""Point""}";30177;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;4;22;7 Sonntag;Nebenstrasse;False;False;False
47.54731601348778, 7.620143011513682;"{""coordinates"": [7.620143011513682, 47.54731601348778], ""type"": ""Point""}";30210;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2013;9;13;3 Mittwoch;Nebenstrasse;False;False;False
47.584024745600466, 7.649007191760209;"{""coordinates"": [7.649007191760209, 47.584024745600466], ""type"": ""Point""}";30217;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2022;3;18;4 Donnerstag;Hauptstrasse;False;False;False
47.57208046895177, 7.598511610191185;"{""coordinates"": [7.598511610191185, 47.57208046895177], ""type"": ""Point""}";30219;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;7;20;5 Freitag;Autobahn;False;False;False
47.560985316188074, 7.574840629639743;"{""coordinates"": [7.574840629639743, 47.560985316188074], ""type"": ""Point""}";30224;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2022;3;0;3 Mittwoch;Nebenstrasse;False;False;False
47.56827594338846, 7.561583580901678;"{""coordinates"": [7.561583580901678, 47.56827594338846], ""type"": ""Point""}";30246;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2014;7;18;4 Donnerstag;Hauptstrasse;False;False;True
47.58692388017989, 7.657047987850411;"{""coordinates"": [7.657047987850411, 47.58692388017989], ""type"": ""Point""}";30253;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;9;9;3 Mittwoch;Hauptstrasse;False;False;False
47.54271323531424, 7.586947587717991;"{""coordinates"": [7.586947587717991, 47.54271323531424], ""type"": ""Point""}";30257;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2022;5;16;1 Montag;Nebenstrasse;False;False;False
47.57155617739803, 7.6067895565295185;"{""coordinates"": [7.606789556529518, 47.57155617739803], ""type"": ""Point""}";30262;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2023;10;15;1 Montag;Nebenstrasse;False;False;False
47.54157331401331, 7.598805468033228;"{""coordinates"": [7.598805468033228, 47.54157331401331], ""type"": ""Point""}";30265;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;2;14;3 Mittwoch;Nebenstrasse;False;False;False
47.55244853665106, 7.616201548727537;"{""coordinates"": [7.616201548727537, 47.55244853665106], ""type"": ""Point""}";30277;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;5;0;4 Donnerstag;Autobahn;False;False;False
47.57965496302191, 7.597178540240331;"{""coordinates"": [7.597178540240331, 47.57965496302191], ""type"": ""Point""}";30298;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;11;15;6 Samstag;Autobahn;False;False;False
47.56219622044394, 7.591944604297947;"{""coordinates"": [7.591944604297947, 47.56219622044394], ""type"": ""Point""}";30314;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;12;16;4 Donnerstag;andere;False;False;False
47.54704650863488, 7.56554643939567;"{""coordinates"": [7.56554643939567, 47.54704650863488], ""type"": ""Point""}";30321;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2017;1;8;2 Dienstag;Nebenstrasse;False;True;False
47.57072446096545, 7.590254742405343;"{""coordinates"": [7.590254742405343, 47.57072446096545], ""type"": ""Point""}";30354;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;11;22;5 Freitag;Autobahn;False;False;False
47.55139565015587, 7.576835467217649;"{""coordinates"": [7.576835467217649, 47.55139565015587], ""type"": ""Point""}";30356;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2023;6;19;7 Sonntag;Nebenstrasse;False;False;False
47.5437071749392, 7.597098389409508;"{""coordinates"": [7.597098389409508, 47.5437071749392], ""type"": ""Point""}";30382;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;8;20;6 Samstag;Nebenstrasse;False;False;False
47.571181759189365, 7.598030490547662;"{""coordinates"": [7.598030490547662, 47.571181759189365], ""type"": ""Point""}";30385;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;12;20;5 Freitag;Autobahn;False;False;False
47.54845649966389, 7.615417795491771;"{""coordinates"": [7.615417795491771, 47.54845649966389], ""type"": ""Point""}";30387;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;7;10;5 Freitag;Autobahn;False;False;False
47.55213851098489, 7.564123756257917;"{""coordinates"": [7.564123756257917, 47.55213851098489], ""type"": ""Point""}";30402;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;8;15;1 Montag;Nebenstrasse;False;False;False
47.55273473393214, 7.60510948926798;"{""coordinates"": [7.60510948926798, 47.55273473393214], ""type"": ""Point""}";30471;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2013;8;6;1 Montag;Nebenstrasse;False;False;True
47.55301148965308, 7.571711596429275;"{""coordinates"": [7.571711596429275, 47.55301148965308], ""type"": ""Point""}";30475;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2014;4;8;2 Dienstag;Nebenstrasse;False;False;False
47.578656792157624, 7.6532392977238555;"{""coordinates"": [7.653239297723855, 47.578656792157624], ""type"": ""Point""}";30478;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;6;9;4 Donnerstag;Nebenstrasse;False;False;False
47.546030681943655, 7.556524633957007;"{""coordinates"": [7.556524633957007, 47.546030681943655], ""type"": ""Point""}";30484;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2021;4;12;2 Dienstag;Nebenstrasse;False;False;False
47.55039400277845, 7.58687592027506;"{""coordinates"": [7.58687592027506, 47.55039400277845], ""type"": ""Point""}";30492;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2018;5;0;7 Sonntag;Nebenstrasse;False;True;False
47.56286062486575, 7.562634136550879;"{""coordinates"": [7.562634136550879, 47.56286062486575], ""type"": ""Point""}";30509;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2023;8;22;6 Samstag;Nebenstrasse;False;False;True
47.574426029176216, 7.563086254235344;"{""coordinates"": [7.563086254235344, 47.574426029176216], ""type"": ""Point""}";30535;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2019;8;7;1 Montag;Nebenstrasse;False;False;True
47.54526603280167, 7.588070460241851;"{""coordinates"": [7.588070460241851, 47.54526603280167], ""type"": ""Point""}";30554;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2013;6;19;5 Freitag;Nebenstrasse;False;True;False
47.56741385183595, 7.62216484228153;"{""coordinates"": [7.62216484228153, 47.56741385183595], ""type"": ""Point""}";30580;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2012;8;5;5 Freitag;Nebenstrasse;False;False;False
47.556100236942974, 7.568251672828096;"{""coordinates"": [7.568251672828096, 47.556100236942974], ""type"": ""Point""}";30598;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2014;5;7;5 Freitag;Nebenstrasse;True;False;False
47.542473801100186, 7.622411128979524;"{""coordinates"": [7.622411128979524, 47.542473801100186], ""type"": ""Point""}";30631;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2021;9;14;1 Montag;Autobahn;False;False;False
47.55399427229877, 7.5983910271116795;"{""coordinates"": [7.598391027111679, 47.55399427229877], ""type"": ""Point""}";30646;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;12;18;2 Dienstag;Nebenstrasse;False;False;False
47.56515970214504, 7.608138081143327;"{""coordinates"": [7.608138081143327, 47.56515970214504], ""type"": ""Point""}";30653;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;2;5;7 Sonntag;Nebenstrasse;False;False;False
47.57065925313438, 7.58497861607001;"{""coordinates"": [7.58497861607001, 47.57065925313438], ""type"": ""Point""}";30663;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2014;4;21;3 Mittwoch;Autobahn;False;False;True
47.558730539078425, 7.613312701184282;"{""coordinates"": [7.613312701184282, 47.558730539078425], ""type"": ""Point""}";30682;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;4;15;2 Dienstag;Autobahn;False;False;False
47.55098431445585, 7.574815145250508;"{""coordinates"": [7.574815145250508, 47.55098431445585], ""type"": ""Point""}";30683;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;2;12;2 Dienstag;Nebenstrasse;False;False;False
47.551162099589284, 7.591036144942117;"{""coordinates"": [7.591036144942117, 47.551162099589284], ""type"": ""Point""}";30691;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2019;7;20;4 Donnerstag;Nebenstrasse;False;True;False
47.56296224807221, 7.60395879412993;"{""coordinates"": [7.60395879412993, 47.56296224807221], ""type"": ""Point""}";30734;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;6;17;1 Montag;Nebenstrasse;False;False;False
47.57213725038649, 7.602950606516213;"{""coordinates"": [7.602950606516213, 47.57213725038649], ""type"": ""Point""}";30746;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;11;8;3 Mittwoch;Autobahn;False;False;False
47.56571675053903, 7.602239848744303;"{""coordinates"": [7.602239848744303, 47.56571675053903], ""type"": ""Point""}";30755;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;3;6;2 Dienstag;Nebenstrasse;False;False;False
47.545569816574044, 7.58962544944171;"{""coordinates"": [7.58962544944171, 47.545569816574044], ""type"": ""Point""}";30777;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;7;17;5 Freitag;andere;False;False;False
47.543836009766444, 7.580893744005439;"{""coordinates"": [7.580893744005439, 47.543836009766444], ""type"": ""Point""}";30780;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;10;15;7 Sonntag;Nebenstrasse;False;False;False
47.543418834794146, 7.6219760539592984;"{""coordinates"": [7.621976053959298, 47.543418834794146], ""type"": ""Point""}";30783;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;1;14;2 Dienstag;Nebenstrasse;False;False;False
47.565082937916905, 7.577814325652923;"{""coordinates"": [7.577814325652923, 47.565082937916905], ""type"": ""Point""}";30785;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2014;5;12;5 Freitag;Nebenstrasse;False;False;False
47.57303100601028, 7.572133573651778;"{""coordinates"": [7.572133573651778, 47.57303100601028], ""type"": ""Point""}";30786;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;6;6;5 Freitag;Nebenstrasse;False;True;False
47.581895265910816, 7.589741484657859;"{""coordinates"": [7.589741484657859, 47.581895265910816], ""type"": ""Point""}";30787;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2016;7;23;4 Donnerstag;andere;False;False;False
47.554795512998815, 7.568819788387273;"{""coordinates"": [7.568819788387273, 47.554795512998815], ""type"": ""Point""}";30806;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2016;7;15;4 Donnerstag;Nebenstrasse;False;False;False
47.566956414203084, 7.582922026424536;"{""coordinates"": [7.582922026424536, 47.566956414203084], ""type"": ""Point""}";30807;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2017;11;9;6 Samstag;Nebenstrasse;False;False;False
47.55024572369145, 7.603520881640417;"{""coordinates"": [7.603520881640417, 47.55024572369145], ""type"": ""Point""}";30840;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;12;17;5 Freitag;Nebenstrasse;False;False;False
47.58027249999389, 7.59272757650687;"{""coordinates"": [7.59272757650687, 47.58027249999389], ""type"": ""Point""}";30869;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2013;12;2;5 Freitag;Nebenstrasse;False;False;True
47.5700043885253, 7.627569242203157;"{""coordinates"": [7.627569242203157, 47.5700043885253], ""type"": ""Point""}";30876;Schleuder- oder Selbstunfall;3 Unfall mit Schwerverletzten;2018;9;6;7 Sonntag;Hauptstrasse;False;False;False
47.54687623338302, 7.613672412099786;"{""coordinates"": [7.613672412099786, 47.54687623338302], ""type"": ""Point""}";30884;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2018;8;20;5 Freitag;Autobahn;False;False;False
47.56669446758418, 7.597618435446742;"{""coordinates"": [7.597618435446742, 47.56669446758418], ""type"": ""Point""}";30889;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2024;3;5;7 Sonntag;Nebenstrasse;False;False;False
47.54555499418908, 7.606999889135737;"{""coordinates"": [7.606999889135737, 47.54555499418908], ""type"": ""Point""}";30917;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2015;9;21;3 Mittwoch;Autobahn;False;False;True
47.561251268163325, 7.6175994245232435;"{""coordinates"": [7.617599424523243, 47.561251268163325], ""type"": ""Point""}";30929;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2015;5;1;5 Freitag;Hauptstrasse;False;False;True
47.56764772289683, 7.5603064153499515;"{""coordinates"": [7.560306415349952, 47.56764772289683], ""type"": ""Point""}";30932;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;1;4;6 Samstag;Nebenstrasse;False;False;False
47.54247813514584, 7.594796875123078;"{""coordinates"": [7.594796875123078, 47.54247813514584], ""type"": ""Point""}";30984;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2021;3;11;2 Dienstag;Nebenstrasse;False;False;False
47.55233747218173, 7.586230351528131;"{""coordinates"": [7.586230351528131, 47.55233747218173], ""type"": ""Point""}";30985;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2011;8;0;6 Samstag;andere;False;False;False
47.545540027111564, 7.591777249555821;"{""coordinates"": [7.591777249555821, 47.545540027111564], ""type"": ""Point""}";31012;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2019;6;17;7 Sonntag;Nebenstrasse;False;False;False
