station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAS;10.06.1864 00:00;58.2;;
BAS;11.06.1864 00:00;42.5;;
BAS;12.06.1864 00:00;0;;
BAS;13.06.1864 00:00;0;;
BAS;14.06.1864 00:00;0.3;;
BAS;15.06.1864 00:00;10.7;;
BAS;16.06.1864 00:00;2.1;;
BAS;17.06.1864 00:00;14.4;;
BAS;18.06.1864 00:00;0;;
BAS;19.06.1864 00:00;1.1;;
BAS;20.06.1864 00:00;0;;
BAS;21.06.1864 00:00;0;;
BAS;22.06.1864 00:00;0;;
BAS;23.06.1864 00:00;0;;
BAS;24.06.1864 00:00;0.9;;
BAS;25.06.1864 00:00;0;;
BAS;26.06.1864 00:00;0;;
BAS;27.06.1864 00:00;9.8;;
BAS;28.06.1864 00:00;8;;
BAS;29.06.1864 00:00;0;;
BAS;30.06.1864 00:00;0.2;;
BAS;01.07.1864 00:00;3.7;;
BAS;02.07.1864 00:00;0;;
BAS;03.07.1864 00:00;0;;
BAS;04.07.1864 00:00;0;;
BAS;05.07.1864 00:00;0;;
BAS;06.07.1864 00:00;0;;
BAS;07.07.1864 00:00;0;;
BAS;08.07.1864 00:00;0;;
BAS;09.07.1864 00:00;0;;
BAS;10.07.1864 00:00;0;;
BAS;11.07.1864 00:00;9.8;;
BAS;12.07.1864 00:00;0;;
BAS;13.07.1864 00:00;0;;
BAS;14.07.1864 00:00;17.2;;
BAS;15.07.1864 00:00;0;;
BAS;16.07.1864 00:00;0;;
BAS;17.07.1864 00:00;16.1;;
BAS;18.07.1864 00:00;1.2;;
BAS;19.07.1864 00:00;0;;
BAS;20.07.1864 00:00;0;;
BAS;21.07.1864 00:00;0;;
BAS;22.07.1864 00:00;3.7;;
BAS;23.07.1864 00:00;0.9;;
BAS;24.07.1864 00:00;0;;
BAS;25.07.1864 00:00;0;;
BAS;26.07.1864 00:00;0.7;;
BAS;27.07.1864 00:00;10.2;;
BAS;28.07.1864 00:00;0;;
BAS;29.07.1864 00:00;8.2;;
BAS;30.07.1864 00:00;0;;
BAS;31.07.1864 00:00;0;;
BAS;01.08.1864 00:00;0;;
BAS;02.08.1864 00:00;0;;
BAS;03.08.1864 00:00;0;;
BAS;04.08.1864 00:00;0;;
BAS;05.08.1864 00:00;0;;
BAS;06.08.1864 00:00;0;;
BAS;07.08.1864 00:00;0;;
BAS;08.08.1864 00:00;0;;
BAS;09.08.1864 00:00;0;;
BAS;10.08.1864 00:00;4.5;;
BAS;11.08.1864 00:00;2.4;;
BAS;12.08.1864 00:00;0;;
BAS;13.08.1864 00:00;0;;
BAS;14.08.1864 00:00;0;;
BAS;15.08.1864 00:00;0;;
BAS;16.08.1864 00:00;0;;
BAS;17.08.1864 00:00;0;;
BAS;18.08.1864 00:00;0;;
BAS;19.08.1864 00:00;4.7;;
BAS;20.08.1864 00:00;22.1;;
BAS;21.08.1864 00:00;0;;
BAS;22.08.1864 00:00;0;;
BAS;23.08.1864 00:00;11.3;;
BAS;24.08.1864 00:00;4.5;;
